,case_id,median,mean,sd,mn,mx,percentile_99_5,percentile_00_5
21,s0286_0000,-831.0,-492.95465817047267,492.0205045527878,-1512,3743,474.0,-1025.0
22,s0281_0000,-953.0,-566.1627876618755,517.4467438825169,-1285,2104,765.0,-1035.0
23,s0626_0000,-114.0,-394.5263722242511,478.4159151109042,-1047,3196,657.0,-1023.0
24,s1311_0000,-891.0,-545.6908464442762,506.521537343043,-1471,3782,840.0,-1042.0
25,s0637_0000,-929.0,-591.0986620563324,491.60690861163744,-1049,3171,626.0,-1024.0
26,s0278_0000,-4.0,-227.5297705907462,543.1111329228539,-1131,2233,1525.0,-1024.0
27,s0580_0000,-638.0,-511.62304933955306,488.7341155476992,-1276,1501,427.0,-1084.0
28,s0556_0000,-994.0,-758.1943314023576,427.4814699734649,-1439,3514,533.0,-1024.0
29,s0288_0000,-59.0,-348.3840405127745,518.1570040892794,-1035,2055,1159.0,-1024.0
30,s1309_0000,-972.0,-623.8927812495017,476.0508154924333,-1215,3664,253.0,-1024.0
31,s0506_0000,-952.0,-546.5512978066357,528.347452941134,-1372,3397,676.0,-1024.0
32,s0873_0000,-147.0,-402.8760194790828,508.28474427778394,-1787,3887,1254.0,-1042.0
33,s0571_0000,-925.0,-578.2563150797516,479.85331571302504,-1039,2503,511.0,-1019.0
34,s0931_0000,-102.0,-366.41621625685764,492.24260372910334,-1411,3189,759.0,-1025.0
35,s1100_0000,-859.0,-531.1352348949752,477.5148873400858,-1054,2638,694.0,-1023.0
36,s1158_0000,-86.0,-255.81313774804622,407.3778446950208,-1314,3479,466.0,-1023.0
37,s0535_0000,-97.0,-342.3613821104448,552.9559966761396,-1161,3366,1581.0,-1013.0
38,s0865_0000,-99.0,-273.1114245642156,539.3399788327463,-1427,3596,1665.0,-1049.0
39,s0706_0000,-986.0,-748.2200408088626,513.700822440904,-1041,1941,1586.0,-1024.0
40,s0723_0000,-117.0,-401.9654364241182,482.6733160169301,-1140,2110,555.0,-1026.0
41,s1182_0000,-934.0,-609.2359420545155,467.90003900771353,-1087,3121,480.0,-1024.0
42,s1133_0000,-558.0,-445.13883114209597,503.2367906286647,-1268,2996,597.0,-1024.0
43,s1374_0000,-917.0,-537.6077788849449,503.2613962463583,-1171,3353,694.0,-1024.0
44,s0536_0000,-132.0,-462.8171735507409,473.5150707709628,-1245,3284,494.0,-1024.0
45,s0598_0000,-916.0,-630.6322223572773,463.1801884210198,-1153,3372,445.0,-1024.0
46,s0983_0000,-764.0,-504.18981681750256,497.1094044823159,-1163,3360,749.0,-1024.0
47,s0922_0000,-357.0,-371.6399434587451,663.7293773155764,-1325,2589,1752.0,-1033.0
48,s0853_0000,-204.0,-442.931359234064,515.5959965061421,-1290,2710,1041.0,-1028.0
49,s0653_0000,-31.0,-186.49815216314767,458.94892430169875,-1043,3172,651.0,-1015.0
50,s0741_0000,-945.0,-607.2878893176695,476.9941312092723,-1080,1527,578.0,-1019.0
51,s0613_0000,-919.0,-579.9594206771261,486.128705542439,-1052,3230,625.0,-1024.0
52,s1093_0000,-970.0,-693.5051838744193,484.5017280956236,-1316,3780,1080.0,-1027.0
53,s0859_0000,-928.0,-615.8604783358107,493.81310854691225,-1228,3305,669.0,-1023.0
54,s0319_0000,-108.0,-416.92218343298157,486.61836478653754,-1456,2089,530.0,-1024.0
55,s0937_0000,-934.0,-572.6768653826396,499.08588760684313,-1058,3191,626.0,-1024.0
56,s0006_0000,-106.0,-342.9353030198871,468.4777677684699,-1050,2601,649.0,-1016.0
57,s1120_0000,-919.0,-574.118470054545,481.33859005255744,-1048,3175,484.0,-1023.0
58,s0241_0000,-854.0,-551.9812380122892,484.8760075077048,-1491,3783,782.0,-1025.0
59,s0946_0000,-665.0,-494.5393569302087,500.31991078906213,-1289,3460,516.0,-1024.0
60,s1273_0000,-863.0,-523.6327999195363,499.98323697819,-1047,3248,726.0,-1024.0
61,s1061_0000,-954.0,-640.242536455339,465.87820147394996,-1065,1517,349.0,-1024.0
62,s1228_0000,-719.0,-981.5559219266485,1190.06533830461,-4216,3855,482.0,-3042.0
63,s0307_0000,-134.0,-467.15003677893924,476.80122726019704,-1045,1616,492.0,-1023.0
64,s0520_0000,-130.0,-435.113270913401,479.1159602593337,-1084,2348,471.0,-1028.0
65,s1325_0000,-162.0,-373.58755670852446,556.7981169819624,-1299,2174,1405.0,-1024.0
66,s0347_0000,-681.0,-457.80268229277647,457.461769749475,-1034,1375,453.0,-974.0
67,s1065_0000,-954.0,-762.1736070392973,410.76050183168985,-1504,3631,524.0,-1024.0
68,s0595_0000,-75.0,-239.2237135,386.4193523269376,-1076,3058,564.0,-1003.0
69,s1183_0000,-115.0,-432.9809552412914,476.57014449102394,-1103,2342,451.0,-1024.0
70,s0480_0000,-95.0,-367.38390227728837,483.27887308673434,-1098,3336,662.0,-1024.0
71,s0850_0000,-85.0,-143.56022242893633,442.0934351360798,-1338,3358,1846.0,-1023.0
72,s0526_0000,-5.0,-105.64949782284826,400.16827046186404,-1331,3282,1289.0,-1007.0
73,s0246_0000,-763.0,-493.3623078892143,502.701384318588,-1178,3059,335.0,-1024.0
74,s0402_0000,-938.0,-577.5445525262157,490.1077667226128,-1064,3309,577.0,-1024.0
75,s0748_0000,-96.0,-354.74192176870747,650.5168827084582,-1038,3168,1696.0,-1024.0
76,s0024_0000,-844.0,-523.8681144875162,491.7896963404432,-1303,3569,574.0,-1024.0
77,s0669_0000,-971.0,-660.2617467350987,471.70267192359523,-1198,3205,455.0,-1024.0
78,s0732_0000,-872.0,-517.0564243096908,493.0420611824653,-1112,1736,311.0,-1024.0
79,s0021_0000,-879.0,-529.6765436500225,527.776903147837,-1078,3158,764.0,-1023.0
80,s1378_0000,-984.0,-632.8685826888349,522.7687314963057,-1184,3383,1082.0,-1024.0
81,s0163_0000,-940.0,-613.6980571202513,477.57379690085486,-1173,3288,445.0,-1024.0
82,s1050_0000,-101.0,-292.0121222710772,543.6637675521135,-1428,3536,2867.0,-1024.0
83,s0250_0000,-899.0,-564.5807900743873,481.2943551461042,-1296,2785,477.0,-1024.0
84,s1189_0000,-945.0,-640.7246738666926,465.66589881727924,-1111,3310,443.0,-1021.0
85,s0128_0000,-694.0,-496.23049934900905,478.0204269548202,-1165,1750,444.0,-1034.0
86,s0102_0000,-1003.0,-767.6858601794547,434.7869123952241,-1448,3268,476.0,-1026.0
87,s1194_0000,-974.0,-1059.865032966395,1170.5238492945628,-3600,3162,1540.0,-3042.0
88,s0481_0000,-271.0,-424.3635356843927,495.4451711837243,-1158,3232,954.0,-1034.0
89,s0843_0000,-70.0,-342.5826618477703,518.1001192756206,-1452,1837,982.0,-1058.0
90,s0067_0000,-624.0,-481.9386625821052,495.5939076171386,-1425,2161,898.0,-1039.0
91,s0581_0000,-115.0,-349.8272875004349,477.8737880414739,-1225,3390,814.0,-1041.0
92,s0350_0000,-827.0,-529.6102229143835,486.5965767555349,-1053,3404,633.0,-1024.0
93,s0328_0000,-803.0,-503.644902140094,503.85989528089203,-1099,2247,614.0,-1024.0
94,s0282_0000,-48.0,-246.80415702046403,540.4857861057001,-1411,1923,1405.0,-1026.0
95,s0406_0000,-760.0,-501.5835636062682,494.6630497184843,-1222,1388,509.0,-1024.0
96,s0361_0000,-926.0,-538.7555076436183,493.0746404722096,-1223,1811,588.0,-1025.0
97,s0358_0000,-916.0,-568.0088219636071,471.43734479071935,-1506,3728,427.0,-1024.0
98,s1293_0000,-907.0,-574.5861961264892,481.85397778770476,-1159,3371,433.0,-1024.0
99,s0509_0000,-524.0,-459.8602647854021,521.3358974701072,-1173,2490,856.0,-1043.0
100,s0266_0000,-924.0,-605.0142544390122,474.2037840469499,-1367,1981,385.0,-1050.0
101,s0034_0000,-963.0,-644.5506159980857,464.01070423665385,-1271,3396,444.0,-1024.0
102,s0255_0000,-938.0,-575.1164045082025,493.0758410000415,-1124,1767,553.0,-1024.0
103,s0129_0000,5.0,-42.587062332602876,338.9203340450496,-1134,2492,1146.0050000000047,-1024.0
104,s0568_0000,-968.0,-633.8492773288747,520.5387587448095,-1405,3534,1262.0,-1037.0
105,s0344_0000,-955.0,-650.0233595268493,471.3659707022234,-1066,3254,444.0,-1024.0
106,s0331_0000,-938.0,-607.8930836654923,494.34529751816325,-1262,3848,617.0,-1040.0
107,s0860_0000,-796.0,-516.9019301764042,501.1206064787533,-1125,3072,644.0,-1024.0
108,s1016_0000,-945.0,-649.1739289642543,485.03869562516763,-1647,3926,648.0,-1035.0
109,s1149_0000,-67.0,-363.48365348848796,493.1392097120553,-1084,3169,606.0,-1024.0
110,s0003_0000,-109.0,-390.8789078530538,530.2237927066703,-1032,2039,1299.0,-1023.0
111,s1161_0000,-951.0,-632.9784678286588,475.3752654460874,-1374,3680,524.0,-1024.0
112,s0527_0000,-69.0,-359.57106432348814,531.0580969862051,-1157,2328,1089.0,-1018.0
113,s1272_0000,-132.0,-416.34577046177577,483.9411342237965,-1352,3124,602.0,-1024.0
114,s0412_0000,-990.0,-772.2525371028039,420.56524233501386,-1293,3615,592.0,-1024.0
115,s0898_0000,-176.0,-444.1288652870299,465.63136599760645,-1048,3180,552.0,-1023.0
116,s0162_0000,-695.0,-493.67901909264833,477.28023823064945,-1439,3525,534.0,-1114.0
117,s0733_0000,-959.0,-652.3870486134866,470.2979956197616,-1195,3324,463.0,-1024.0
118,s0368_0000,-86.0,-257.00321774827495,515.9583494744685,-1053,1427,716.0,-999.0
119,s0031_0000,-932.0,-585.2107598414076,485.27324095214055,-1066,1744,518.0,-1025.0
120,s0156_0000,-923.0,-603.3965541672259,469.92625652336585,-1447,2667,378.0,-1026.0
121,s0585_0000,-122.0,-444.5651575826012,493.3335727718936,-1417,3125,486.0,-1025.0
122,s1002_0000,-460.0,-402.937866759123,474.17472692162073,-1169,3096,579.0,-1024.0
123,s0796_0000,-960.0,-658.1812103906807,475.1499558155577,-1057,2485,609.0,-1024.0
124,s0978_0000,-102.0,-350.9610981220921,477.86541496267,-1319,3134,608.0,-1024.0
125,s0811_0000,-373.0,-463.72451347616686,479.38964335562946,-1055,3434,602.0,-1022.0
126,s0234_0000,-126.0,-416.18640613901596,522.6295184038484,-1040,2082,1264.0,-1023.0
127,s1285_0000,-869.0,-540.8911385881797,498.2828998849669,-1447,3669,479.0,-1021.0
128,s0486_0000,-296.0,-872.3434032701706,1206.2182695725028,-3631,2396,784.0,-3044.0
129,s0132_0000,-924.0,-580.5524468195067,488.5932504128079,-1286,2154,545.0,-1045.0
130,s0211_0000,-898.0,-569.3244418767304,480.2193230682167,-1421,3605,463.0,-1024.0
131,s0075_0000,-932.0,-564.6556977865839,495.5353903594121,-1217,3241,586.0,-1024.0
132,s1363_0000,-960.0,-628.409089452737,483.3454466849965,-1292,3492,467.0,-1024.0
133,s0396_0000,23.0,-214.29398922839013,485.8681165410741,-1467,1793,996.0,-1049.0
134,s0002_0000,-882.0,-531.3957051110516,518.3870233290296,-1254,1911,871.0,-1024.0
135,s0182_0000,-826.0,-476.3027086903645,506.60379555097177,-1588,3581,837.0,-1025.0
136,s0124_0000,-997.0,-646.2443289966254,490.2919884181135,-1479,3299,438.0,-1025.0
137,s1221_0000,-807.0,-496.2220953764938,492.92946361910634,-1309,3403,592.0,-1023.0
138,s1187_0000,-940.0,-556.6569334238297,482.8983169779588,-1189,1999,417.0,-1024.0
139,s0345_0000,-96.0,-322.44902568870685,450.1667509004294,-1130,1723,508.0,-1024.0
140,s0807_0000,-915.0,-1337.7406694273127,2462.5280562629378,-9615,5270,852.0,-8193.0
141,s0430_0000,-516.0,-464.00027258986177,483.3248995077766,-1041,2581,512.0,-1024.0
142,s1383_0000,-667.0,-497.5306588906575,497.53875305369877,-1207,3139,630.0,-1024.0
143,s1291_0000,-162.0,-897.094584315983,1159.5920424470983,-3577,1709,480.0,-3040.0
144,s1296_0000,-791.0,-512.4649530873603,489.70856335561723,-1301,3439,539.0,-1025.0
145,s0169_0000,-15.0,-154.8582773852625,515.8085481270091,-1461,3444,1655.0,-1018.0
146,s0325_0000,-966.0,-681.008852532038,455.7343088709378,-1312,1872,384.0,-1042.0
147,s0428_0000,-134.0,-484.6436182388601,489.2408901525791,-1229,1582,497.0,-1025.0
148,s0310_0000,-935.0,-619.127042828744,477.70607275777263,-1040,3326,634.0,-1016.0
149,s1167_0000,-889.0,-592.2058852912778,469.26786301550294,-1063,2570,507.0,-1022.0
150,s1358_0000,-154.0,-451.2206726087886,508.96448791919454,-1050,2079,869.0,-1021.0
151,s0870_0000,-958.0,-581.2970560040654,523.65752827905,-1176,3329,1337.0,-1023.0
152,s1003_0000,-24.0,-231.6370769442069,637.0827695068348,-1564,3506,2188.0,-1024.0
153,s0874_0000,-301.0,-430.4218638047259,543.4084868172966,-1298,2050,1300.0,-1026.0
154,s1346_0000,-153.0,-484.4042252465855,480.4566246686761,-1260,1570,332.0,-1029.0
155,s0986_0000,-907.0,-560.5105140293912,497.28663692030824,-1238,3294,645.0,-1024.0
156,s0316_0000,-736.0,-500.97500451255854,491.5272092623286,-1117,1394,495.0,-1022.0
157,s1127_0000,-928.0,-559.3561411061044,491.0545389886923,-1469,3642,542.0,-1024.0
158,s1047_0000,0.0,-285.2323613849199,663.4845990068981,-1039,3199,1863.0,-1024.0
159,s0851_0000,-955.0,-546.6937050271772,528.5695926202563,-1033,3113,1030.0,-1012.0
160,s1163_0000,-942.0,-546.7276258941872,549.3322870520507,-1211,3352,1537.0,-1022.0
161,s1209_0000,-125.0,-449.3185533067359,469.1047862290203,-1265,3424,535.0,-1024.0
162,s0242_0000,-103.0,-263.91391037578984,408.53906628236405,-1122,1431,599.0,-1015.0
163,s0573_0000,-466.0,-489.5276028380102,508.04051506808537,-1463,3568,818.0,-1019.0
164,s0834_0000,-109.0,-313.5970143563749,447.90399726824745,-1385,3178,630.0,-1028.0
165,s0904_0000,-107.0,-392.7227065998076,480.24356689542964,-1070,3079,604.0,-1024.0
166,s0477_0000,-928.0,-627.4537597907024,478.1142574418244,-1422,3585,510.0,-1023.0
167,s0443_0000,-937.0,-589.2029892757939,508.70678314373765,-1530,3598,785.0,-1039.0
168,s1307_0000,-619.0,-495.95441743435384,472.0793335192537,-1375,3418,559.0,-1024.0
169,s0170_0000,-914.0,-572.7962578386821,516.7869987183714,-1458,3380,841.0,-1036.0
170,s0640_0000,-946.0,-648.9717398351935,471.5937631221443,-1089,2012,574.0,-1024.0
171,s1157_0000,-142.0,-450.18808805077924,485.7049903104058,-1208,3379,800.0,-1024.0
172,s0632_0000,-921.0,-611.1966759769783,456.08462860623206,-1134,3233,335.0,-1024.0
173,s1294_0000,-945.0,-581.5124726361132,501.24454778736083,-1105,1609,559.0,-1014.0
174,s0615_0000,-271.0,-487.68722845003344,475.48749943938185,-1162,1728,296.0,-1024.0
175,s0997_0000,-930.0,-488.26283865682774,610.7978579162409,-1063,3074,1436.0,-1007.0
176,s0466_0000,-962.0,-651.3713700513126,526.2264433447423,-1547,3428,1586.0,-1034.0
177,s1318_0000,-947.0,-1092.646393636886,1117.756059042767,-3666,3539,1141.0,-3033.0
178,s0090_0000,-113.0,-421.3723500236394,487.75487870305585,-1109,1521,591.0,-1024.0
179,s0227_0000,-936.0,-611.1558338491652,486.98009784810057,-1043,1571,601.0,-1024.0
180,s1024_0000,-429.0,-498.04783331035367,493.15996575041726,-1293,2898,329.0,-1024.0
181,s0497_0000,-940.0,-594.6389225291097,536.733015711833,-1458,3724,1389.0,-1047.0
182,s1099_0000,-989.0,-747.9103890009752,428.14055279797935,-1323,3506,380.0,-1024.0
183,s1259_0000,-87.0,-323.44923936333026,451.7804538015471,-1184,3279,653.0,-1024.0
184,s0174_0000,-59.0,-196.1737716505109,406.1046487538131,-1135,1621,696.0,-1024.0
185,s0693_0000,-902.0,-510.1525484770877,492.79283156157004,-1058,1614,407.0,-1027.0
186,s0559_0000,-977.0,-565.34589097037,536.4282925201805,-1223,3378,1124.0,-1026.0
187,s0551_0000,-833.0,-507.51200017080305,501.485623886823,-1272,3768,596.0,-1045.0
188,s0659_0000,-112.0,-375.0939479996854,477.12208781972134,-1209,3381,690.0,-1020.0
189,s0413_0000,-187.0,-480.801184800633,466.8999075089865,-1138,1907,529.0,-1024.0
190,s0192_0000,-90.0,-349.484034501367,498.82870227991657,-1106,1514,671.0,-1024.0
191,s0264_0000,-774.0,-510.88298227121595,481.8215276102136,-1427,1996,494.0,-1049.0
192,s0159_0000,-998.0,-624.5698220021619,646.7254423406071,-1354,3128,1983.0,-1024.0
193,s0654_0000,-670.0,-431.293368648807,537.8459692153266,-1383,3583,1120.0,-1039.0
194,s0262_0000,-928.0,-596.3053410045449,481.2962010834279,-1254,1704,397.0,-1045.0
195,s0028_0000,-973.0,-654.3420358293271,465.78207600933627,-1423,3740,441.0,-1024.0
196,s1373_0000,-846.0,-499.8671496139626,506.6592562359309,-1048,2453,805.0,-1021.0
197,s1388_0000,-986.0,-705.385118589817,438.7203637753423,-1141,3188,436.0,-1024.0
198,s0386_0000,-2.0,-178.16715899366034,382.2737165695693,-1187,1627,562.0,-998.0
199,s0389_0000,-95.0,-276.39524795508174,406.5028141315903,-1041,3161,731.0,-1018.0
200,s0831_0000,-965.0,-639.7757433383354,494.77113962270437,-1253,2081,710.0,-1024.0
201,s0157_0000,-951.0,-650.7418056797125,461.19690129007125,-1251,2661,420.0,-1040.0
202,s0039_0000,-970.0,-657.6456816503636,469.16911345411006,-1168,1354,387.0,-1024.0
203,s0989_0000,-70.0,-226.59939642660188,431.89510669004875,-2059,2321,647.0,-1158.0
204,s0704_0000,-569.0,-436.18210580374733,492.1120514766904,-1047,3287,907.0,-1021.0
205,s0475_0000,-1022.0,-723.9431593153972,484.61165154555954,-1489,3805,608.0,-1025.0
206,s0781_0000,-891.0,-588.8696797420904,480.5530035681734,-1120,2298,576.0,-1025.0
207,s0628_0000,-937.0,-631.9993723112958,469.95988211152036,-1047,1371,421.0,-1024.0
208,s1243_0000,-629.0,-401.4043948725911,486.6368046655514,-1056,3108,607.0,-1020.0
209,s0433_0000,-672.0,-461.1198695868408,506.18310450719247,-1038,2339,761.0,-1023.0
210,s0789_0000,-872.0,-555.7903518838624,479.13618681781537,-1196,2766,499.0,-1024.0
211,s0861_0000,-970.0,-677.4650276450034,458.1560680328346,-1325,3643,452.0,-1024.0
212,s0373_0000,-87.0,-307.68324544191336,456.6120639974732,-1214,3405,732.0,-1026.0
213,s0243_0000,-928.0,-581.3040500609426,507.38756912333207,-1384,3875,725.0,-1036.0
214,s0954_0000,-144.0,-397.56173089987897,524.2367151355548,-1557,3771,933.0,-1025.0
215,s1070_0000,-911.0,-590.9728287369276,479.6164867477274,-1036,2266,638.0,-1023.0
216,s1038_0000,-91.0,-350.26233518752315,472.3451283444217,-1258,1697,505.0,-1024.0
217,s0199_0000,-971.0,-696.4321969996976,461.37390991050114,-1258,1996,438.0,-1029.0
218,s0812_0000,-957.0,-667.1574637421454,474.49732092657166,-1777,4300,697.0,-1031.0
219,s0992_0000,-125.0,-457.3463512251816,472.97148566864814,-1045,3185,463.0,-1023.0
220,s1241_0000,-949.0,-597.8328497573248,473.39894083243905,-1209,3411,366.0,-1024.0
221,s1131_0000,-115.0,-459.85025111609986,500.6187592996897,-1212,1428,466.0,-1024.0
222,s0453_0000,-960.0,-642.5520076492537,502.58988298713825,-1380,3138,1076.0,-1035.0
223,s1289_0000,-125.0,-420.88069700167836,456.56352931647297,-1229,3242,471.0,-1024.0
224,s0614_0000,-4.0,-76.60432454117502,330.2462417191958,-1259,2221,1021.0,-1024.0
225,s0797_0000,-132.0,-449.1449204277713,472.6216050911686,-1185,3320,523.0,-1024.0
226,s1250_0000,-730.0,-479.3900322967213,503.7159524652921,-1444,2941,629.0,-1025.0
227,s0068_0000,-5.0,-141.61390032649157,451.80417112542125,-1127,3577,1479.6450000000186,-1024.0
228,s0565_0000,-412.0,-476.60007902625654,476.7838801002448,-1052,3110,489.0,-1023.0
229,s0483_0000,-1001.0,-662.3797124899222,484.3388974722237,-1289,3274,440.0,-1025.0
230,s0455_0000,-760.0,-478.247765101609,500.38604724267475,-1875,4018,743.0,-1044.0
231,s1071_0000,-971.0,-600.0289264581572,510.92836493113214,-1046,3170,930.0,-1024.0
232,s0766_0000,-452.0,-411.49390444608207,587.0382154499052,-1070,3063,1279.0,-1017.0
233,s0447_0000,-992.0,-712.3698968156658,444.53900729391586,-1052,3147,373.0,-1024.0
234,s0338_0000,-381.0,-436.9149396741969,489.7411766041732,-1313,1373,575.0,-1025.0
235,s0868_0000,-986.0,-628.1699600580649,498.8725676415261,-1229,3121,768.0,-1024.0
236,s0058_0000,-134.0,-431.07335487313463,483.3421202754225,-1433,3523,626.0,-1024.0
237,s0073_0000,-122.0,-389.03912674075815,462.83028237870457,-1050,1479,506.0,-1023.0
238,s1261_0000,-933.0,-1096.9945503723832,1102.7142066076317,-3555,3626,687.0,-3045.0
239,s0333_0000,-978.0,-675.5963909616655,486.8212579666709,-1112,3181,1025.0,-1026.0
240,s0136_0000,-10.0,-117.15214388562737,446.26175889954465,-1229,2431,1394.0,-1013.0
241,s0975_0000,-932.0,-610.6683145936659,481.2839146049006,-1187,3276,625.0,-1025.0
242,s1235_0000,-306.0,-443.1810701072238,490.48217910185537,-1183,2197,630.0,-1015.0
243,s0166_0000,-970.0,-628.3135125823701,481.54962416669605,-1230,3431,464.0,-1025.0
244,s0810_0000,-942.0,-669.2787064430556,449.49041230173634,-1390,3624,612.0,-1024.0
245,s0764_0000,-922.0,-1140.9818423856796,2120.131666166861,-9547,10292,559.0,-8193.0
246,s0478_0000,-988.0,-685.4569568349317,490.2210435946152,-1037,3137,1104.0,-1015.0
247,s0592_0000,-945.0,-637.7215571990645,461.5608418495388,-1664,4187,431.0,-1034.0
248,s0061_0000,-995.0,-695.2327267127846,482.4157613814038,-1406,2764,795.0,-1028.0
249,s0092_0000,-95.0,-345.26555573399816,472.7027129392541,-1318,1483,551.0,-1034.0
250,s1010_0000,-929.0,-522.0188865224869,531.8112226109006,-1140,3166,1111.0,-1026.0
251,s0833_0000,-85.0,-373.6812640816356,513.2757909415424,-1206,7540,903.0,-1049.0
252,s0145_0000,-101.0,-331.7460692281875,469.49794499691984,-1244,3308,617.0,-1036.0
253,s0507_0000,-876.0,-521.1381600259151,506.52482268660833,-1055,3273,724.0,-1024.0
254,s0190_0000,-933.0,-569.627481911045,500.56954184711486,-1268,2730,571.0,-1027.0
255,s0010_0000,-927.0,-546.6359201414797,496.1703804405427,-1047,1682,591.0,-1024.0
256,s0804_0000,-120.0,-417.63246754175464,504.5718203888195,-1493,3562,800.0,-1025.0
257,s1335_0000,-923.0,-916.2813893259901,1225.6744496010797,-3436,2217,1518.0,-3036.0
258,s1205_0000,-80.0,-359.77789789106356,473.05406250456343,-1108,3169,306.0,-1024.0
259,s0911_0000,-115.0,-316.0208066729764,498.41389495503006,-1090,3271,768.0,-1021.0
260,s1008_0000,-938.0,-583.5069178921367,489.98285311661215,-1052,3143,541.0,-1024.0
261,s0444_0000,-165.0,-404.4025186260824,491.5976370653997,-1353,3806,798.0,-1029.0
262,s0751_0000,-835.0,-513.0128789515696,495.24536370921976,-1253,3160,579.0,-1024.0
263,s1384_0000,-999.0,-817.8862286679415,393.2748141189288,-1524,3605,528.0,-1024.0
264,s0078_0000,-937.0,-559.0431640026525,505.05982111257464,-1171,3409,631.0,-1024.0
265,s0525_0000,-995.0,-679.8861964198665,457.15109524008733,-1095,1892,503.0,-1024.0
266,s0936_0000,-568.0,-429.64772841680684,489.63502635783937,-1137,1909,671.0,-1025.0
267,s0185_0000,-26.0,-230.5743003587215,441.6964746859878,-1032,1709,810.1450000000186,-1023.0
268,s0502_0000,-662.0,-468.9683389434655,500.72817439833034,-1167,3570,533.0,-1016.0
269,s1258_0000,-644.0,-470.1849388497503,502.9566862986475,-1310,3154,674.0,-1026.0
270,s1034_0000,-947.0,-615.1634799392732,556.448395518492,-1513,3776,1618.0,-1043.0
271,s1032_0000,-153.0,-387.138277805202,559.413857634486,-1370,3511,1479.0,-1024.0
272,s0602_0000,-103.0,-190.45580543676817,401.0992748134205,-1046,3114,1124.0,-1007.0
273,s1299_0000,-112.0,-344.51368580070516,540.7867558297874,-1247,3320,1493.0,-1022.0
274,s1319_0000,-896.0,-581.706786993419,467.71533892701217,-1152,3486,406.0,-1022.0
275,s1371_0000,-983.0,-1206.7011814216619,1158.5111986407453,-3768,3549,588.0,-3047.0
276,s0460_0000,-80.0,-303.2951639711249,660.1726009924771,-1345,2052,1538.0,-1020.0
277,s0641_0000,-929.0,-607.3943582229092,479.2356319030322,-1068,3184,592.0,-1025.0
278,s0885_0000,-803.0,-510.8248757299278,498.93855161538505,-1050,1509,553.0,-1024.0
279,s0784_0000,-770.0,-498.3396713493191,513.0856842214216,-1308,3634,801.0,-1029.0
280,s0082_0000,-113.0,-410.93266476837414,469.4042528192265,-1219,1353,511.0,-1027.0
281,s0383_0000,-103.0,-277.69279939661067,427.27689378894615,-1161,2399,542.0,-1024.0
282,s0913_0000,-952.0,-630.224352049507,494.45088742840807,-1469,3538,647.0,-1024.0
283,s0035_0000,-991.0,-721.6308172144396,449.1087532359684,-1270,2280,508.0,-1025.0
284,s0724_0000,-944.0,-628.1411458388125,478.4879909974277,-1153,1611,724.0,-1024.0
285,s0463_0000,-853.0,-550.8125060191536,524.7848834735075,-1526,3486,676.0,-1026.0
286,s0835_0000,-635.0,-504.0952951351221,474.01817060336225,-1042,2950,437.0,-1024.0
287,s0154_0000,16.0,-72.31857959169832,440.8941084224811,-1323,2539,1595.0,-1012.0
288,s0876_0000,-167.0,-404.10862301576975,440.9560078704797,-1170,1327,378.0,-998.0
