idx,label,for
124,MR-ventricles,train
125,MR-brainstem,train
126,MR-brain_growth,No_Label
126,MR-brain_growth,No_Label
127,MR-cerebrospinal_fluid,train
128,MR-caudate_nucleaus,train
129,MR-anterior_hippocampus_of_the_brain,train
130,MR-posterior_hippocampus_of_the_brain,train
131,MR-carotid_artery_vessel_wall,No_Label
131,MR-carotid_artery_vessel_wall,No_Label
132,OCT-fluid-filled,No_Label
132,OCT-fluid-filled,No_Label
133,OCT-subretinal_fluid,No_Label
133,OCT-subretinal_fluid,No_Label
134,OCT-intraretinal_fluid,No_Label
134,OCT-intraretinal_fluid,No_Label
135,OCT-retinal_layer_boundaries-1,No_Label
135,OCT-retinal_layer_boundaries-1,No_Label
136,OCT-retinal_layer_boundaries-2,No_Label
136,OCT-retinal_layer_boundaries-2,No_Label
137,OCT-retinal_layer_boundaries-3,No_Label
137,OCT-retinal_layer_boundaries-3,No_Label
138,OCT-retinal_layer_boundaries-4,No_Label
138,OCT-retinal_layer_boundaries-4,No_Label
139,OCT-retinal_layer_boundaries-5,No_Label
139,OCT-retinal_layer_boundaries-5,No_Label
140,OCT-retinal_layer_boundaries-6,No_Label
140,OCT-retinal_layer_boundaries-6,No_Label
141,OCT-retinal_layer_boundaries-7,No_Label
141,OCT-retinal_layer_boundaries-7,No_Label
142,OCT-retinal_layer_boundaries-8,No_Label
142,OCT-retinal_layer_boundaries-8,No_Label
143,CT-vertebrae_C1,train
144,CT-vertebrae_C2,train
145,CT-vertebrae_C3,train
146,CT-vertebrae_C4,train
147,CT-vertebrae_C5,train
148,CT-vertebrae_C6,train
149,CT-vertebrae_C7,train
150,MR-brain_skull,No_Label
150,MR-brain_skull,No_Label
151,MR-peripheral_artery,No_Label
151,MR-peripheral_artery,No_Label
152,CT-scapula_right,train
153,CT-humerus_right,train
154,CT-clavicula_right,train
155,CT-scapula_left,train
156,CT-humerus_left,train
157,CT-clavicula_left,train
158,CT-femur_left,train
159,CT-hip_left,train
160,CT-femur_right,train
161,CT-hip_right,train
162,CT-sacrum,train
163,CT-gluteus_medius_right,train
164,CT-gluteus_maximus_right,train
165,CT-gluteus_minimus_right,train
166,CT-gluteus_medius_left,train
167,CT-gluteus_maximus_left,train
168,CT-gluteus_minimus_left,train
169,CT-coronary_artery,No_Label
169,CT-coronary_artery,No_Label
170,CT-ascending_aorta,No_Label
170,CT-ascending_aorta,No_Label
171,CT-lung_upper_lobe_right,train
172,CT-lung_lower_lobe_right,train
173,CT-lung_middle_lobe_right,train
174,CT-left_or_right_lung,No_Label
174,CT-left_or_right_lung,No_Label
175,CT-lung_upper_lobe_left,train
176,CT-lung_lower_lobe_left,train
177,CT-trachea,train
178,CT-lung,train
179,CT-pulmonary_artery,train
180,CT-outside_the_lungs,No_Label
180,CT-outside_the_lungs,No_Label
181,CT-pulmonary_airway,train
182,CT-lung_vessels,No_Label
182,CT-lung_vessels,No_Label
183,CT-lung_organ_at_risks,No_Label
183,CT-lung_organ_at_risks,No_Label
184,MR-left_or_right_lung,No_Label
184,MR-left_or_right_lung,No_Label
185,MR-left_kidney,train
186,MR-left_adrenal,No_Label
186,MR-left_adrenal,No_Label
187,MR-trachea,No_Label
187,MR-trachea,No_Label
188,MR-pulmonary_artery,train
189,MR-stomach,No_Label
189,MR-stomach,No_Label
190,MR-gallbladder,No_Label
190,MR-gallbladder,No_Label
191,MR-pancreas,No_Label
191,MR-pancreas,No_Label
192,CT-rib_right_1,train
193,CT-rib_right_10,train
194,CT-rib_right_11,train
195,CT-rib_right_12,train
196,CT-rib_right_2,train
197,CT-rib_right_3,train
198,CT-rib_right_4,train
199,CT-rib_right_5,train
200,CT-rib_right_6,train
201,CT-rib_right_7,train
202,CT-rib_right_8,train
203,CT-rib_right_9,train
204,CT-rib_left_1,train
205,CT-rib_left_10,train
206,CT-rib_left_11,train
207,CT-rib_left_12,train
208,CT-rib_left_2,train
209,CT-rib_left_3,train
210,CT-rib_left_4,train
211,CT-rib_left_5,train
212,CT-rib_left_6,train
213,CT-rib_left_7,train
214,CT-rib_left_8,train
215,CT-rib_left_9,train
216,CT-vertebrae_T1,train
217,CT-vertebrae_T10,train
218,CT-vertebrae_T11,train
219,CT-vertebrae_T12,train
220,CT-vertebrae_T2,train
221,CT-vertebrae_T3,train
222,CT-vertebrae_T4,train
223,CT-vertebrae_T5,train
224,CT-vertebrae_T6,train
225,CT-vertebrae_T7,train
226,CT-vertebrae_T8,train
227,CT-vertebrae_T9,train
228,CT-sternum,No_Label
228,CT-sternum,No_Label
229,MR-sternum,No_Label
229,MR-sternum,No_Label
230,CT-autochthon_right,train
231,CT-autochthon_left,train
232,CT-bones,No_Label
232,CT-bones,No_Label
233,MR-intervertebral_disc,No_Label
233,MR-intervertebral_disc,No_Label
234,CT-femur_bone,No_Label
234,CT-femur_bone,No_Label
235,CT-femur_cartilage,No_Label
235,CT-femur_cartilage,No_Label
236,CT-tibia_bone,No_Label
236,CT-tibia_bone,No_Label
237,CT-tibia_cartilage,No_Label
237,CT-tibia_cartilage,No_Label
238,MR-knee_cartilage,No_Label
238,MR-knee_cartilage,No_Label
239,MR-knee_bone,No_Label
239,MR-knee_bone,No_Label
240,CT-left_or_right_psoas_major_muscle,No_Label
240,CT-left_or_right_psoas_major_muscle,No_Label
241,CT-iliopsoas_left,train
242,CT-rectus_abdominis_muscle,No_Label
242,CT-rectus_abdominis_muscle,No_Label
243,MR-left_or_right_psoas_major_muscle,No_Label
243,MR-left_or_right_psoas_major_muscle,No_Label
244,MR-rectus_abdominis_muscle,No_Label
244,MR-rectus_abdominis_muscle,No_Label
